scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
21041500,108JH5102,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,0,1,15/4/2025
21041501,108JH8643,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,1,1,15/4/2025
21041502,1HK1162030BBLC,1199,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,1,2,1,15/4/2025
21041503,150A11863C,599,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,0,0,0,0,0,0,0,0,0,0,3,1,15/4/2025
21041504,150A13465C,699,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,4,1,15/4/2025
21041505,150A13469C,549,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,1,0,0,0,0,0,0,0,0,0,5,1,15/4/2025
21041506,150A13470C,549,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,1,1,0,6,1,15/4/2025
21041507,150A11861C,599,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,7,1,15/4/2025
21041508,150A13467C,699,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,1,1,0,8,1,15/4/2025
21041509,150A13471C,549,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,9,1,15/4/2025
21041510,150A15069C,599,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,10,1,15/4/2025
21041511,150A12196C,649,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,1,1,1,1,1,1,1,1,1,0,11,1,15/4/2025
21041512,108JH5632,899,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,1,1,1,1,1,1,12,1,15/4/2025
21041513,108JI3202,899,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,1,13,1,15/4/2025
21041514,112M1000MEN,1099,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,2,2,2,2,2,2,2,2,0,14,1,15/4/2025
21041515,112M1000MEW,1099,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,15,1,15/4/2025
21041516,112RCVRYSP1,399,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,0,1,0,1,0,1,0,1,0,16,1,15/4/2025
21041517,112U530NEA,799,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,17,1,15/4/2025
21041518,112U530NEB,799,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,18,1,15/4/2025
21041519,112U1906RNE,1099,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,19,1,15/4/2025
21041520,112U1906RNF,1099,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,1,0,0,0,0,0,0,0,20,1,15/4/2025
21041521,112U327GPA,849,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,21,1,15/4/2025
21041522,112U327GPB,849,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,22,1,15/4/2025
21041523,112U530NEC,799,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,23,1,15/4/2025
21041524,1HK1126851CYLB,1499,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,1,1,1,1,24,1,15/4/2025
21041525,1MLJ006031,690,10% Off,90,No Discount,100,No Discount,100,0,0,0,2,0,2,0,2,0,2,0,25,1,15/4/2025
21041526,1MLJ007057,690,10% Off,90,No Discount,100,No Discount,100,0,0,0,2,0,2,0,2,0,2,0,26,1,15/4/2025
21041527,1MLJ007059,690,10% Off,90,No Discount,100,No Discount,100,0,0,0,2,0,2,0,2,0,2,0,27,1,15/4/2025
21041528,112M1000PSB,1099,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,1,1,1,1,1,1,1,1,0,28,1,15/4/2025
21041529,112M1000PSP,1099,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,2,2,2,2,2,2,2,2,2,0,29,1,15/4/2025
21041530,108KJ0854,899,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,1,1,1,30,1,15/4/2025
21041531,112M2002RJM,1099,No Discount,100,No Discount,100,No Discount,100,2,2,2,1,2,2,2,2,1,1,1,31,1,15/4/2025
21041532,112U1906NB,1099,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,1,1,1,1,1,1,1,0,32,1,15/4/2025
21041533,112U1906NC,1099,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,33,1,15/4/2025
21041534,112M1906RCB,1099,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,1,2,2,1,1,1,1,1,34,1,15/4/2025
21041535,112U1906NA,1099,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,35,1,15/4/2025
21041536,129L47738500,1398,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,0,0,0,0,0,0,36,1,15/4/2025
21041537,108JQ7440,999,VIP 10% Off,90,No Discount,100,No Discount,100,2,1,2,2,1,1,1,1,1,1,1,37,1,15/4/2025
21041538,129L47737400,1398,No Discount,100,No Discount,100,No Discount,100,2,2,2,1,1,1,1,1,1,1,1,38,1,15/4/2025
21041539,129L47748700,1198,No Discount,100,No Discount,100,No Discount,100,2,2,2,1,1,0,0,0,0,0,0,39,1,15/4/2025
21041540,129L47758200,758,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,1,1,1,1,1,1,40,1,15/4/2025
21041541,108JS0304,699,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,0,0,0,0,0,0,41,1,15/4/2025
21041542,129L47134400,1198,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,1,1,1,42,1,15/4/2025
21041543,129L47758100,758,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,0,0,0,0,0,0,43,1,15/4/2025
21041544,1151203A542102,950,VIP 10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,1,1,1,44,1,15/4/2025
21041545,1151203A670023,690,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,1,1,2,0,45,1,15/4/2025
21041546,1151203A320110,790,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,1,1,1,2,1,1,1,1,1,46,1,15/4/2025
21041547,1151203A670201,690,VIP 10% Off,90,No Discount,100,No Discount,100,1,2,1,1,1,2,2,1,1,1,0,47,1,15/4/2025
21041548,1151203A670250,690,VIP 10% Off,90,No Discount,100,No Discount,100,1,2,2,2,2,2,2,2,2,2,0,48,1,15/4/2025
21041549,1KN1030572,990,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,2,2,2,2,2,2,2,2,2,49,1,15/4/2025
21041550,1151203A670020,690,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,2,1,1,1,2,1,1,1,0,50,1,15/4/2025
21041551,1151203A670021,690,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,51,1,15/4/2025
21041552,112MR530EMA,799,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,1,1,1,1,1,1,1,1,1,1,52,1,15/4/2025
21041553,1151202A164121,650,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,1,1,1,53,1,15/4/2025
21041554,1HK1141570FFR,999,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,54,1,15/4/2025
21041555,1HK1123112OTOT,1199,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,1,1,1,55,1,15/4/2025
21041556,10K39646419,699,Buy 1 Get 15% Off,85,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,1,1,2,2,2,1,1,56,1,15/4/2025
21041557,10K39646420,699,Buy 1 Get 15% Off,85,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,1,1,1,1,1,1,1,57,1,15/4/2025
21041558,112ML610TAX,799,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,58,1,15/4/2025
21041559,1151203A275001,790,VIP 10% Off,90,No Discount,100,No Discount,100,2,1,1,2,2,2,1,1,1,1,1,59,1,15/4/2025
21041560,1151203A275110,790,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,1,2,2,2,2,1,1,1,1,60,1,15/4/2025
21041561,1151203A275500,790,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,1,1,1,1,1,1,1,1,0,61,1,15/4/2025
21041562,112U574LGGG,899,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,2,2,2,2,2,2,2,2,2,0,62,1,15/4/2025
21041563,112URC42DD,799,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,0,0,0,0,0,0,0,0,0,63,1,15/4/2025
21041564,150A13851C,749,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,0,0,0,0,0,0,0,0,0,0,64,1,15/4/2025
21041565,1151203A383025,950,VIP 10% Off,90,No Discount,100,No Discount,100,1,2,2,2,2,2,2,1,1,1,1,65,1,15/4/2025
21041566,1151203A739100,950,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,1,1,1,1,1,1,1,1,1,66,1,15/4/2025
21041567,112ML725CG,679,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,67,1,15/4/2025
21041568,108JI3538,899,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,1,68,1,15/4/2025
21041569,108JH5470,899,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,1,1,1,1,1,1,69,1,15/4/2025
21041570,108JI0124,899,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,1,1,1,70,1,15/4/2025
21041571,129L47676600,1398,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,71,1,15/4/2025
21041572,1151203A741001,550,VIP 10% Off,90,No Discount,100,No Discount,100,1,2,2,2,2,2,1,1,1,1,1,72,1,15/4/2025
21041573,150A12836C,849,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,2,2,2,2,2,2,1,1,0,73,1,15/4/2025
21041574,150A13377C,549,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,1,1,1,1,1,1,1,1,0,0,74,1,15/4/2025
21041575,150A13376C,549,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,2,2,2,2,2,2,1,1,1,0,75,1,15/4/2025
21041576,150A13378C,549,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,1,1,1,1,1,1,1,1,1,0,76,1,15/4/2025
21041577,1HK1162011OLTM,1499,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,1,77,1,15/4/2025
21041578,1HK1126851PTYC,1499,No Discount,100,No Discount,100,No Discount,100,1,1,1,2,2,2,2,2,1,1,1,78,1,15/4/2025
21041579,1HK1155351CYWH,1299,10% Off,90,No Discount,100,No Discount,100,1,1,1,0,0,0,0,0,0,0,0,79,1,15/4/2025
21041580,1HK1155370BWR,1199,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,0,0,0,80,1,15/4/2025
21041581,1HK1141572OLY,1499,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,81,1,15/4/2025
21041582,1HK1155370FCG,1199,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,1,1,1,1,2,82,1,15/4/2025
21041583,1HK1162850CRBN,1299,No Discount,100,No Discount,100,No Discount,100,2,2,1,2,2,2,1,1,1,1,1,83,1,15/4/2025
21041584,1HK1155350OTTM,1499,10% Off,90,No Discount,100,No Discount,100,0,1,1,1,2,2,2,1,1,1,0,84,1,15/4/2025
21041585,1HK1127895SSFR,839,No Discount,100,No Discount,100,No Discount,100,0,1,1,2,1,1,2,2,1,1,1,85,1,15/4/2025
21041586,129L47732400,1598,No Discount,100,No Discount,100,No Discount,100,2,2,1,1,1,1,1,1,1,1,1,86,1,15/4/2025
21041587,129L47724200,1198,No Discount,100,No Discount,100,No Discount,100,2,2,2,1,1,1,1,1,1,1,1,87,1,15/4/2025
21041588,129L47762000,1398,No Discount,100,No Discount,100,No Discount,100,2,2,2,1,1,1,2,2,2,2,1,88,1,15/4/2025
21041589,112U740ST2,679,No Discount,100,No Discount,100,No Discount,100,2,2,2,1,0,0,0,0,0,0,0,89,1,15/4/2025
