shoe_sku,shoe_name,shoe_brand,shoe_type,shoe_gender
108JH5102,SL 72 RS,Adidas,Sneakers,Men
108JH8643,SL 72 RS,Adidas,Sneakers,Unisex
1HK1162030BBLC,Clifton 10,Hoka,Running Shoes,Men
150A11863C,Run Star Trainer,Converse,Sneakers,Unisex
150A13465C,Omni Trainer,Converse,Sneakers,Unisex
150A13469C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A13470C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A11861C,Run Star Trainer,Converse,Sneakers,Unisex
150A13467C,Omni Trainer,Converse,Sneakers,Unisex
150A13471C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A15069C,Run Star Trainer,Converse,Sneakers,Unisex
150A12196C,Run Star Trainer,Converse,Sneakers,Unisex
108JH5632,Samba OG,Adidas,Sneakers,Unisex
108JI3202,Samba OG,Adidas,Sneakers,Unisex
112M1000MEN,1000,New Balance,Sneakers,Men
112M1000MEW,1000,New Balance,Sneakers,Men
112RCVRYSP1,Fresh Foam RCVRY Slide,New Balance,Sandals,Men
112U530NEA,530,New Balance,Sneakers,Unisex
112U530NEB,530,New Balance,Sneakers,Unisex
112U1906RNE,1906R,New Balance,Sneakers,Unisex
112U1906RNF,1906R,New Balance,Sneakers,Unisex
112U327GPA,327,New Balance,Sneakers,Unisex
112U327GPB,327,New Balance,Sneakers,Unisex
112U530NEC,530,New Balance,Sneakers,Unisex
1HK1126851CYLB,Mafate Speed 2,Hoka,Hiking Shoes,Unisex
1MLJ006031,Hydro Next Gen Moc,Merrell,Sandals,Men
1MLJ007057,Hydro Next Gen Moc Silt,Merrell,Sandals,Men
1MLJ007059,Hydro Next Gen Moc Poplar,Merrell,Sandals,Men
112M1000PSB,1000,New Balance,Sneakers,Men
112M1000PSP,1000,New Balance,Sneakers,Men
108KJ0854,Handball Spezial,Adidas,Sneakers,Men
112M2002RJM,2002R,New Balance,Sneakers,Unisex
112U1906NB,1906 Utility,New Balance,Sneakers,Unisex
112U1906NC,1906 Utility,New Balance,Sneakers,Unisex
112M1906RCB,1906R,New Balance,Sneakers,Unisex
112U1906NA,1906 Utility,New Balance,Sneakers,Unisex
129L47738500,XT-6,Salomon,Hiking Shoes,Unisex
108JQ7440,Samba XLG,Adidas,Sneakers,Unisex
129L47737400,XT-6 Oxford,Salomon,Hiking Shoes,Unisex
129L47748700,XT-6 Expanse,Salomon,Hiking Shoes,Unisex
129L47758200,RX Slide 3.0,Salomon,Hiking Shoes,Unisex
108JS0304,Taekwondo,Adidas,Sneakers,Unisex
