scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
025041600,10K39884602,799.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,0,1,2025-04-16
025041601,112U574GCE,749.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,2,2,2,2,2,2,2,2,0,1,1,2025-04-16
025041602,129L47739100,1398.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,1,1,1,2,1,2025-04-16
025041603,108JH5102,799.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,3,1,2025-04-16
025041604,108JH8643,799.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,4,1,2025-04-16
025041605,1HK1162030BBLC,1199.0,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,1,5,1,2025-04-16
025041606,150A11862C,599.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,6,1,2025-04-16
025041607,150A11863C,599.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,0,0,0,0,0,0,0,0,0,0,7,1,2025-04-16
025041608,150A13465C,699.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,8,1,2025-04-16
025041609,150A13469C,549.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,1,0,0,0,0,0,0,0,0,0,9,1,2025-04-16
025041610,150A13470C,549.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,1,1,0,10,1,2025-04-16
025041611,150A11861C,599.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,11,1,2025-04-16
025041612,150A13467C,699.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,1,1,0,12,1,2025-04-16
025041613,150A15069C,599.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,13,1,2025-04-16
025041614,150A13471C,549.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,14,1,2025-04-16
025041615,150A12196C,649.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,1,1,1,1,1,1,1,1,1,0,15,1,2025-04-16
025041616,108JH5632,899.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,1,1,1,1,1,1,16,1,2025-04-16
025041617,108JI3202,899.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,1,17,1,2025-04-16
025041618,112M1000MEN,1099.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,2,2,2,2,2,2,2,2,0,18,1,2025-04-16
025041619,112M1000MEW,1099.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,19,1,2025-04-16
025041620,112RCVRYSP1,399.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,0,1,0,1,0,1,0,1,0,20,1,2025-04-16
025041621,112U530NEA,799.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,21,1,2025-04-16
025041622,112U530NEB,799.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,22,1,2025-04-16
025041623,112RCVRYSC1,399.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,0,2,0,2,0,2,0,2,0,23,1,2025-04-16
025041624,1HK1126851CYLB,1499.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,1,1,1,1,24,1,2025-04-16
025041625,1MLJ006031,690.0,10% Off,90,No Discount,100,No Discount,100,0,0,0,2,0,2,0,2,0,2,0,25,1,2025-04-16
025041626,1MLJ007057,690.0,10% Off,90,No Discount,100,No Discount,100,0,0,0,2,0,2,0,2,0,2,0,26,1,2025-04-16
025041627,1MLJ007059,690.0,10% Off,90,No Discount,100,No Discount,100,0,0,0,2,0,2,0,2,0,2,0,27,1,2025-04-16
025041628,112M1000PSB,1099.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,1,1,1,1,1,1,1,1,0,28,1,2025-04-16
025041629,112M1000PSP,1099.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,2,2,2,2,2,2,2,2,2,0,29,1,2025-04-16
025041630,108KJ0854,899.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,1,1,1,30,1,2025-04-16
025041631,112M2002RJM,1099.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,1,2,2,2,2,1,1,1,31,1,2025-04-16
025041632,112U1906NB,1099.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,1,1,1,1,1,1,1,0,32,1,2025-04-16
025041633,112U1906NC,1099.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,33,1,2025-04-16
025041634,112M1906RCB,1099.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,1,2,2,1,1,1,1,1,34,1,2025-04-16
025041635,112U1906NA,1099.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,35,1,2025-04-16
025041636,129L47738500,1398.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,0,0,0,0,0,0,36,1,2025-04-16
025041637,108JQ7440,999.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,1,2,2,1,1,1,1,1,1,1,37,1,2025-04-16
025041638,129L47737400,1398.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,1,1,1,1,1,1,1,1,38,1,2025-04-16
025041639,129L47748700,1198.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,1,1,0,0,0,0,0,0,39,1,2025-04-16
025041640,129L47758200,758.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,1,1,1,1,1,1,40,1,2025-04-16
025041641,108JS0304,699.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,0,0,0,0,0,0,41,1,2025-04-16
025041642,129L47134400,1198.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,1,1,1,42,1,2025-04-16
025041643,129L47758100,758.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,0,0,0,0,0,0,43,1,2025-04-16
025041644,1151203A542102,950.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,1,1,1,44,1,2025-04-16
025041645,1151203A670023,690.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,1,1,2,0,45,1,2025-04-16
025041646,1151203A320110,790.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,1,1,1,2,1,1,1,1,1,46,1,2025-04-16
025041647,1151203A670201,690.0,VIP 10% Off,90,No Discount,100,No Discount,100,1,2,1,1,1,2,2,1,1,1,0,47,1,2025-04-16
025041648,1151203A670250,690.0,VIP 10% Off,90,No Discount,100,No Discount,100,1,2,2,2,2,2,2,2,2,2,0,48,1,2025-04-16
025041649,1KN1030572,990.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,2,2,2,2,2,2,2,2,2,49,1,2025-04-16
025041650,1151203A670020,690.0,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,2,1,1,1,2,1,1,1,0,50,1,2025-04-16
025041651,1151203A670021,690.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,51,1,2025-04-16
025041652,112MR530EMA,799.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,1,1,1,1,1,1,1,1,1,1,52,1,2025-04-16
025041653,1151202A164121,650.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,1,1,1,53,1,2025-04-16
025041654,1HK1141570FFR,999.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,54,1,2025-04-16
025041655,1HK1123112OTOT,1199.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,1,1,1,55,1,2025-04-16
025041656,10K39646419,699.0,Buy 1 Get 15% Off,85,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,1,1,2,2,2,1,1,56,1,2025-04-16
025041657,10K39646420,699.0,Buy 1 Get 15% Off,85,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,1,1,1,1,1,1,1,57,1,2025-04-16
025041658,112ML610TAX,799.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,58,1,2025-04-16
025041659,1151203A275001,790.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,1,1,2,2,2,1,1,1,1,1,59,1,2025-04-16
025041660,1151203A275110,790.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,1,2,2,2,2,1,1,1,1,60,1,2025-04-16
025041661,1151203A275500,790.0,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,1,1,1,1,1,1,1,1,0,61,1,2025-04-16
025041662,112U574LGGG,899.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,2,2,2,2,2,2,2,2,2,0,62,1,2025-04-16
025041663,112URC42DD,799.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,0,0,0,0,0,0,0,0,0,63,1,2025-04-16
025041664,150A13851C,749.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,0,0,0,0,0,0,0,0,0,0,64,1,2025-04-16
025041665,1151203A383025,950.0,VIP 10% Off,90,No Discount,100,No Discount,100,1,2,2,2,2,2,2,1,1,1,1,65,1,2025-04-16
025041666,1151203A739100,950.0,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,1,1,1,1,1,1,1,1,1,66,1,2025-04-16
025041667,112ML725CG,679.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,67,1,2025-04-16
025041668,108JI3538,899.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,1,68,1,2025-04-16
025041669,108JH5470,899.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,1,1,1,1,1,1,69,1,2025-04-16
025041670,108JI0124,899.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,1,1,1,70,1,2025-04-16
025041671,129L47676600,1398.0,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,71,1,2025-04-16
025041672,1151203A741001,550.0,VIP 10% Off,90,No Discount,100,No Discount,100,1,2,2,2,2,2,1,1,1,1,1,72,1,2025-04-16
025041673,150A12836C,849.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,2,2,2,2,2,2,1,1,0,73,1,2025-04-16
025041674,150A13377C,549.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,1,1,1,1,1,1,1,1,0,0,74,1,2025-04-16
025041675,150A13376C,549.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,2,2,2,2,2,2,1,1,1,0,75,1,2025-04-16
025041676,150A13378C,549.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,1,1,1,1,1,1,1,1,1,0,76,1,2025-04-16
025041677,1HK1162011OLTM,1499.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,1,77,1,2025-04-16
025041678,1HK1126851PTYC,1499.0,No Discount,100,No Discount,100,No Discount,100,1,1,1,2,2,2,2,2,1,1,1,78,1,2025-04-16
025041679,1HK1155351CYWH,1299.0,10% Off,90,No Discount,100,No Discount,100,1,1,1,0,0,0,0,0,0,0,0,79,1,2025-04-16
025041680,1HK1155370BWR,1199.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,0,0,0,80,1,2025-04-16
