shoe_sku,shoe_name,shoe_brand,shoe_type,shoe_gender
1HK1162031VCH,Clifton 10,Hoka,Running Shoes,Women
108JH8643,SL 72 RS,Adidas,Sneakers,Unisex
108JI0196,SL 72 OG,Adidas,Sneakers,Women
1HK1162031WWH,Clifton 10,Hoka,Running Shoes,Women
1HK1162031BBLC,Clifton 10,Hoka,Running Shoes,Women
150A11863C,Run Star Trainer,Converse,Sneakers,Unisex
150A13465C,Omni Trainer,Converse,Sneakers,Unisex
150A13469C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A13470C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A11861C,Run Star Trainer,Converse,Sneakers,Unisex
150A13467C,Omni Trainer,Converse,Sneakers,Unisex
150A13471C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A15069C,Run Star Trainer,Converse,Sneakers,Unisex
150A12196C,Run Star Trainer,Converse,Sneakers,Unisex
108JH5632,Samba OG,Adidas,Sneakers,Unisex
108JI3202,Samba OG,Adidas,Sneakers,Unisex
112U530NEA,530,New Balance,Sneakers,Unisex
112U530NEB,530,New Balance,Sneakers,Unisex
112WS327FTA,327,New Balance,Sneakers,Women
112U1906RNE,1906R,New Balance,Sneakers,Unisex
112U1906RNF,1906R,New Balance,Sneakers,Unisex
112U327GPA,327,New Balance,Sneakers,Unisex
112U327GPB,327,New Balance,Sneakers,Unisex
112U530NEC,530,New Balance,Sneakers,Unisex
112WS327FTC,327,New Balance,Sneakers,Women
108JS1615,Taekwondo,Adidas,Sneakers,Women
108JS1616,Taekwondo,Adidas,Sneakers,Women
1KN1030162,Uneek Astoria,Keen,Sandals,Women
108JH5687,Samba OG,Adidas,Sneakers,Women
1HK1126851CYLB,Mafate Speed 2,Hoka,Hiking Shoes,Unisex
1MLJ008228,Hydro Next Gen Moc Poplar,Merrell,Sandals,Women
10K40358902,Speedcat Go Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
10K40358901,Speedcat Go Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
10K40128701,Speedcat Ballet Suede Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
1151203A615102,Japan S,Asics,Sneakers,Women
112M2002RJM,2002R,New Balance,Sneakers,Unisex
112U1906NB,1906 Utility,New Balance,Sneakers,Unisex
112U1906NC,1906 Utility,New Balance,Sneakers,Unisex
112M1906RCB,1906R,New Balance,Sneakers,Unisex
112U1906NA,1906 Utility,New Balance,Sneakers,Unisex
108JS3317,Taekwondo,Adidas,Sneakers,Women
129L47738500,XT-6,Salomon,Hiking Shoes,Unisex
108JP5609,Sambae,Adidas,Sneakers,Women
108JQ7440,Samba XLG,Adidas,Sneakers,Unisex
129L47737400,XT-6 Oxford,Salomon,Hiking Shoes,Unisex
129L47748700,XT-6 Expanse,Salomon,Hiking Shoes,Unisex
129L47758200,RX Slide 3.0,Salomon,Hiking Shoes,Unisex
10K40128702,Speedcat Ballet Suede Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
108JI2716,Gazelle Indoor,Adidas,Sneakers,Women
108JI2717,Gazelle Indoor,Adidas,Sneakers,Women
108JS0304,Taekwondo,Adidas,Sneakers,Unisex
129L47134400,Acs Plus OG,Salomon,Hiking Shoes,Unisex
129L47758100,RX Slide 3.0,Salomon,Hiking Shoes,Unisex
1151203A670023,Gel-Sonoma Se,Asics,Sandals,Unisex
1151203A320110,GT-2160,Asics,Sneakers,Unisex
1151203A670201,Gel-Sonoma Se,Asics,Sandals,Unisex
1151202A278250,Gel-Nimbus 9,Asics,Sneakers,Women
1KN1030559,Shanti Mint,Keen,Sandals,Women
1KN1030583,Newport Retro x Dead Dye,Keen,Sandals,Women
1KN1030268,Uneek WK,Keen,Sandals,Women
1KN1030269,Uneek WK,Keen,Sandals,Women
1KN1030577,Uneek,Keen,Sandals,Women
1KN1030697,Uneek WK,Keen,Sandals,Women
1KN1030578,Uneek Mimosa 3,Keen,Sandals,Women
1151203A670020,Gel-Sonoma Se,Asics,Sandals,Unisex
1151203A670100,Gel-Sonoma Se,Asics,Sandals,Women
10K40238101,PUMA x HELLO KITTY & FRIENDS Suede XL Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
1151203A451104,Skyhand OG,Asics,Sneakers,Women
1151203A670021,Gel-Sonoma Se,Asics,Sandals,Unisex
