scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
25041700,10K39884602,799,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,0,1,17/4/2025
25041701,112U574GCE,749,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,2,2,2,2,2,2,2,2,0,1,1,17/4/2025
25041702,129L47739100,1398,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,1,1,1,2,1,17/4/2025
25041703,1HK1162031VCH,1199,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,3,1,17/4/2025
25041704,108JH8643,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,4,1,17/4/2025
25041705,108JI0196,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,0,0,0,0,0,0,5,1,17/4/2025
25041706,1HK1162031WWH,1199,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,6,1,17/4/2025
25041707,1HK1162031BBLC,1199,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,7,1,17/4/2025
25041708,150A11862C,599,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,8,1,17/4/2025
25041709,150A11863C,599,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,1,0,0,0,0,0,0,0,0,0,0,9,1,17/4/2025
25041710,150A13465C,699,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,10,1,17/4/2025
25041711,150A13469C,549,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,1,0,0,0,0,0,0,0,0,0,11,1,17/4/2025
25041712,150A13470C,549,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,1,1,0,12,1,17/4/2025
25041713,150A11861C,599,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,13,1,17/4/2025
25041714,150A13467C,699,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,1,1,0,14,1,17/4/2025
25041715,150A13471C,549,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,15,1,17/4/2025
25041716,150A15069C,599,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,0,0,0,0,0,0,0,0,0,0,16,1,17/4/2025
25041717,150A12196C,649,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,1,1,1,1,1,1,1,1,1,0,17,1,17/4/2025
25041718,108JH5632,899,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,1,1,1,1,1,1,18,1,17/4/2025
25041719,108JI3202,899,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,1,19,1,17/4/2025
25041720,112U530NEA,799,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,20,1,17/4/2025
25041721,112U530NEB,799,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,21,1,17/4/2025
25041722,112WS327FTA,849,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,22,1,17/4/2025
