shoe_sku,shoe_name,shoe_brand,shoe_type,shoe_gender
17A3MF10081926,Cloudzone,On Running,Sneakers,Men
108IH2560,Barricade 13,Adidas,Tennis Shoes,Men
1151041A466200,Solution Swift FF 2,Asics,Tennis Shoes,Men
1HK1162032BBLC,Clifton 10 Wide,Hoka,Running Shoes,Men
1HK1155119SYWR,Mach X 2,Hoka,Running Shoes,Men
112U9060EEL,9060,New Balance,Sneakers,Unisex
13ZS20964603,Triumph 22,Saucony,Running Shoes,Men
1HK1162030FGZ,Clifton 10,Hoka,Running Shoes,Men
1HK1162030MTFL,Clifton 10,Hoka,Running Shoes,Men
13ZS790637,Grid Fusion,Saucony,Sneakers,Unisex
112U2002RRD,2002R,New Balance,Sneakers,Unisex
112UWRPDSBB,WRPD Runner,New Balance,Sneakers,Unisex
112UWRPDSBC,WRPD Runner,New Balance,Sneakers,Unisex
185220530BKGY,Max Cushion Premier 2.0,Skechers,Running Shoes,Men
1HK1162030STLLR,Clifton 10,Hoka,Running Shoes,Men
17A3MF10071043,Cloud 6,On Running,Sneakers,Men
129L47750200,Techamphibian 5,Salomon,Hiking Shoes,Men
129L47797800,X Ultra 5 GORE-TEX,Salomon,Hiking Shoes,Men
129L47816700,X Ultra 360 Edge GORE-TEX,Salomon,Hiking Shoes,Men
17A3MF10071200,Cloud 6,On Running,Sneakers,Men
129L47740700,Reelax Slide 6.0,Salomon,Hiking Shoes,Men
129L47112000,Reelax Slide 6.0,Salomon,Hiking Shoes,Men
129L47813100,X-Adventure Recon GORE-TEX,Salomon,Hiking Shoes,Men
1HK1162030HSK,Clifton 10,Hoka,Running Shoes,Men
1HK1162030BBLC,Clifton 10,Hoka,Running Shoes,Men
108IE1230,F50 League Turf Boots,Adidas,Football Shoes,Men
108JR6366,Adizero Adios Pro 4,Adidas,Running Shoes,Men
108ID1320,Predator League Fold-Over Tongue Firm/Multi-Ground Boots,Adidas,Football Shoes,Men
108ID3767,Predator League Turf Boots,Adidas,Football Shoes,Unisex
108ID3780,Predator League Indoor Football Boots,Adidas,Football Shoes,Men
108ID3836,Predator League Artificial Grass Boots,Adidas,Football Shoes,Unisex
108ID3881,Predator Elite Firm Ground Boots,Adidas,Football Shoes,Men
108IE1221,F50 Club Indoor Boots,Adidas,Football Shoes,Unisex
108JR3915,Anthony Edwards 1 Low Trainers,Adidas,Basketball Shoes,Men
108ID1330,Predator League Firm/Multi-Ground Boots,Adidas,Football Shoes,Unisex
