scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
011042000,10K37978612,999.0,Buy 1 Get 15% Off,85,Buy 2 Get 20% Off,80,No Discount,100,0,0,0,2,2,2,1,2,2,2,2,0,0,2025-04-20
011042001,10K37978615,999.0,Buy 1 Get 15% Off,85,Buy 2 Get 20% Off,80,No Discount,100,0,0,0,2,2,2,2,2,2,2,2,1,0,2025-04-20
011042002,10K37979401,1099.0,Buy 1 Get 15% Off,85,Buy 2 Get 20% Off,80,No Discount,100,0,0,0,2,2,2,2,2,2,2,2,2,0,2025-04-20
011042003,112U530CSB,799.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,3,0,2025-04-20
011042004,1151011B869403,1390.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,2,2,2,2,2,2,2,2,2,4,0,2025-04-20
011042005,1151011C104800,990.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,2,2,2,2,2,2,2,2,2,5,0,2025-04-20
011042006,112U530CSA,799.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,1,1,1,1,1,0,0,6,0,2025-04-20
011042007,17A3MF10081926,1190.0,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,0,7,0,2025-04-20
011042008,17A3MF10081200,1190.0,No Discount,100,No Discount,100,No Discount,100,0,1,1,2,2,2,2,2,2,1,0,8,0,2025-04-20
011042009,108JS0306,699.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,9,0,2025-04-20
011042010,1151011B869022,1390.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,2,10,0,2025-04-20
011042011,17A3ME30023213,1290.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,2,1,2,2,2,2,2,2,2,0,11,0,2025-04-20
011042012,1151041A466200,790.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,2,2,2,2,2,2,2,2,2,12,0,2025-04-20
011042013,108IH2560,1199.0,Buy 2 Get 20% Off,80,VIP 10% Off,90,No Discount,100,1,1,1,2,2,2,2,2,2,2,2,13,0,2025-04-20
011042014,1HK1162032BBLC,1199.0,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,1,1,2,1,2,1,14,0,2025-04-20
011042015,13ZS20940600,1399.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,15,0,2025-04-20
011042016,1151011C033800,1390.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,1,2,2,2,2,2,2,2,2,2,16,0,2025-04-20
011042017,112M1080J14,1399.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,2,2,2,2,2,2,2,2,0,17,0,2025-04-20
011042018,1HK1155119SYWR,1599.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,2,18,0,2025-04-20
011042019,1151011C032750,1090.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,1,2,2,2,2,2,2,2,2,2,19,0,2025-04-20
011042020,112U9060EEL,1299.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,1,1,1,1,1,0,20,0,2025-04-20
011042021,13ZS20964603,1399.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,2,2,2,2,2,2,2,2,0,21,0,2025-04-20
