scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
12041500,1HK1147851BSW,839,No Discount,100,No Discount,100,No Discount,100,2,1,1,1,1,1,1,0,0,0,0,0,0,15/4/2025
12041501,1HK1164033BBLC,879,No Discount,100,No Discount,100,No Discount,100,1,2,2,2,2,0,0,0,0,0,0,1,0,15/4/2025
12041502,1HK1147810WTLT,1199,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,2,0,15/4/2025
12041503,1HK1155113FSTS,1349,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,0,0,0,0,0,0,3,0,15/4/2025
12041504,1HK1147810BKFS,1199,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,2,0,0,0,0,0,4,0,15/4/2025
12041505,1HK1155151SZQ,1599,10% Off,90,No Discount,100,No Discount,100,2,1,2,2,1,2,2,0,0,0,0,5,0,15/4/2025
12041506,1HK1141570ORZ,999,No Discount,100,No Discount,100,No Discount,100,1,1,2,2,2,2,1,2,0,1,0,6,0,15/4/2025
12041507,1HK1155196OKS,1899,10% Off,90,No Discount,100,No Discount,100,2,2,2,1,1,1,1,0,0,0,0,7,0,15/4/2025
12041508,1HK1147811OMN,1299,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,8,0,15/4/2025
12041509,1HK1155350BLTR,1499,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,1,2,2,2,2,9,0,15/4/2025
12041510,1HK1134532STLLT,899,10% Off,90,No Discount,100,No Discount,100,0,2,0,2,0,2,0,1,0,1,0,10,0,15/4/2025
12041511,1HK1155370BWHT,1199,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,2,11,0,15/4/2025
12041512,1HK1162012WWH,1499,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,2,0,0,0,0,12,0,15/4/2025
12041513,1HK1162850SSTST,1299,No Discount,100,No Discount,100,No Discount,100,0,1,1,1,1,1,1,1,1,1,0,13,0,15/4/2025
12041514,1HK1133958FDEGG,1499,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,14,0,15/4/2025
12041515,1HK1155350SHK,1499,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,2,15,0,15/4/2025
12041516,1HK1147952BBLC,1699,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,1,2,1,1,1,0,16,0,15/4/2025
12041517,1HK1164033WWH,879,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,1,0,0,0,0,17,0,15/4/2025
12041518,1HK1123112WHWH,1199,10% Off,90,No Discount,100,No Discount,100,0,0,2,1,2,2,2,2,0,1,1,18,0,15/4/2025
12041519,1HK1127952WWH,839,No Discount,100,No Discount,100,No Discount,100,2,2,2,0,2,2,2,1,0,0,0,19,0,15/4/2025
12041520,1HK1162031VCH,1199,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,20,0,15/4/2025
12041521,1HK1162031WWH,1199,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,21,0,15/4/2025
12041522,1HK1127952SLRL,1119,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,22,0,15/4/2025
12041523,1HK1127896FCK,1039,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,1,0,0,0,0,0,23,0,15/4/2025
12041524,1HK1142830FBBLC,1279,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,24,0,15/4/2025
12041525,1MLJ85950,239,No Discount,100,No Discount,100,No Discount,100,1,2,1,1,1,1,1,1,0,0,0,25,0,15/4/2025
12041526,108IF7005,539,No Discount,100,No Discount,100,No Discount,100,2,1,1,2,2,2,0,0,0,0,0,26,0,15/4/2025
12041527,108IE3699,899,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,1,1,1,1,1,27,0,15/4/2025
12041528,108ID8845,999,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,28,0,15/4/2025
12041529,108IE1435,289,No Discount,100,No Discount,100,No Discount,100,2,0,2,0,2,0,1,0,1,0,1,29,0,15/4/2025
12041530,108IE8800,418,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,0,0,0,0,0,30,0,15/4/2025
12041531,108IG1273,299,VIP 10% Off,90,No Discount,100,No Discount,100,2,0,2,0,2,0,2,0,2,0,2,31,0,15/4/2025
12041532,108BB5476,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,32,0,15/4/2025
12041533,108B75806,899,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,33,0,15/4/2025
12041534,108BB5480,639,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,1,1,2,1,2,34,0,15/4/2025
12041535,108EG6517,259,VIP 10% Off,90,No Discount,100,No Discount,100,1,0,1,0,2,0,2,0,2,0,2,35,0,15/4/2025
12041536,108GZ5891,299,VIP 10% Off,90,No Discount,100,No Discount,100,2,0,1,0,2,0,1,0,1,0,1,36,0,15/4/2025
12041537,108HQ4204,1099,VIP 10% Off,90,No Discount,100,No Discount,100,2,1,2,1,1,1,0,0,0,0,0,37,0,15/4/2025
12041538,108HQ8708,599,No Discount,100,No Discount,100,No Discount,100,1,1,1,2,1,1,0,2,2,2,2,38,0,15/4/2025
12041539,108HP5788,419,No Discount,100,No Discount,100,No Discount,100,0,1,1,1,1,1,0,0,0,0,0,39,0,15/4/2025
12041540,108HQ4206,1099,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,1,2,2,0,0,0,0,0,40,0,15/4/2025
12041541,108ID9843,279,No Discount,100,No Discount,100,No Discount,100,1,1,1,1,1,1,1,1,1,1,0,41,0,15/4/2025
12041542,108H06125,449,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,42,0,15/4/2025
12041543,108HQ4670,279,No Discount,100,No Discount,100,No Discount,100,2,0,2,0,2,0,2,0,2,0,1,43,0,15/4/2025
12041544,108IE7052,559,VIP 10% Off,90,No Discount,100,No Discount,100,2,0,2,0,2,0,0,0,0,0,0,44,0,15/4/2025
12041545,108HQ8752,419,No Discount,100,No Discount,100,No Discount,100,0,0,2,2,2,2,2,2,2,1,1,45,0,15/4/2025
12041546,108IE3403,899,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,46,0,15/4/2025
12041547,108IF8064,399,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,47,0,15/4/2025
12041548,10K31007904,499,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,48,0,15/4/2025
12041549,10K31015201,359,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,49,0,15/4/2025
12041550,10K31015206,359,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,1,1,1,1,0,0,50,0,15/4/2025
12041551,10K31069403,389,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,1,1,2,2,2,2,2,2,2,2,51,0,15/4/2025
12041552,10K31069405,329,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,1,1,1,1,0,0,52,0,15/4/2025
12041553,10K36962127,209,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,53,0,15/4/2025
12041554,10K36962129,209,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,54,0,15/4/2025
12041555,10K36962130,249,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,55,0,15/4/2025
12041556,10K36962131,249,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,56,0,15/4/2025
12041557,10K37112854,299,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,1,0,0,2,0,0,0,0,0,57,0,15/4/2025
12041558,10K37260502,399,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,0,0,2,0,0,0,0,2,2,58,0,15/4/2025
12041559,10K37704827,329,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,1,2,2,2,2,1,2,2,2,2,2,59,0,15/4/2025
12041560,10K37774901,999,Buy 1 Get 15% Off,85,Buy 2 Get 20% Off,80,No Discount,100,2,1,2,0,0,0,0,0,0,0,0,60,0,15/4/2025
12041561,10K37806823,419,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,61,0,15/4/2025
12041562,10K37806824,419,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,62,0,15/4/2025
12041563,10K37829114,359,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,1,2,1,1,1,1,1,1,1,0,0,63,0,15/4/2025
12041564,10K37877618,349,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,0,0,2,2,2,2,1,2,2,2,64,0,15/4/2025
12041565,10K37944306,389,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,0,0,1,2,2,0,0,0,0,2,65,0,15/4/2025
12041566,10K38302619,399,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,0,0,0,0,0,0,0,0,66,0,15/4/2025
12041567,10K38302603,349,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,0,0,0,0,0,0,0,0,67,0,15/4/2025
12041568,10K38311518,279,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,1,1,2,0,0,0,0,0,0,0,68,0,15/4/2025
12041569,10K38566902,349,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,1,2,2,2,2,2,2,2,2,2,69,0,15/4/2025
12041570,108JS1193,699,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,1,1,1,0,70,0,15/4/2025
12041571,10K37767201,329,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,71,0,15/4/2025
12041572,10K31093101,329,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,1,0,0,0,0,0,72,0,15/4/2025
12041573,10K30998304,299,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,1,0,0,0,0,0,0,0,73,0,15/4/2025
12041574,10K30990201,329,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,1,1,2,2,2,2,2,2,2,2,2,74,0,15/4/2025
12041575,108JR2731,699,No Discount,100,No Discount,100,No Discount,100,2,1,2,2,1,2,2,1,1,1,2,75,0,15/4/2025
12041576,10K10768903,349,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,0,1,2,2,2,2,2,2,2,2,76,0,15/4/2025
12041577,10K10793703,489,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,0,1,2,2,2,2,2,2,2,2,77,0,15/4/2025
12041578,10K10793903,349,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,0,1,2,2,2,2,2,2,2,2,78,0,15/4/2025
12041579,10K31019601,1099,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,1,0,0,0,0,0,0,0,79,0,15/4/2025
12041580,108JH6378,479,No Discount,100,No Discount,100,No Discount,100,1,1,1,1,1,1,1,1,1,2,1,80,0,15/4/2025
12041581,108JQ0955,539,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,81,0,15/4/2025
12041582,108JR5859,699,No Discount,100,No Discount,100,No Discount,100,2,2,1,1,1,1,1,1,1,1,1,82,0,15/4/2025
12041583,108IH0856,249,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,83,0,15/4/2025
12041584,108JI0836,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,84,0,15/4/2025
12041585,108JI2714,899,VIP 10% Off,90,No Discount,100,No Discount,100,2,1,2,2,2,2,0,0,0,0,0,85,0,15/4/2025
12041586,108JQ0176,899,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,86,0,15/4/2025
12041587,108JQ2554,799,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,87,0,15/4/2025
12041588,108JQ5976,499,No Discount,100,No Discount,100,No Discount,100,2,2,1,1,1,1,1,1,1,1,1,88,0,15/4/2025
12041589,108JR1163,1699,No Discount,100,No Discount,100,No Discount,100,2,1,1,2,1,1,1,1,1,0,0,89,0,15/4/2025
12041590,108IH7799,1199,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,1,90,0,15/4/2025
12041591,108JH6959,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,0,0,0,0,0,91,0,15/4/2025
12041592,108JH6962,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,0,0,0,0,0,92,0,15/4/2025
12041593,108JH7219,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,93,0,15/4/2025
12041594,108JH7428,689,No Discount,100,No Discount,100,No Discount,100,1,2,2,2,2,2,1,1,1,1,1,94,0,15/4/2025
12041595,108JQ7439,639,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,95,0,15/4/2025
12041596,10K31008902,999,Buy 1 Get 15% Off,85,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,1,1,1,1,0,0,0,96,0,15/4/2025
12041597,10K31008901,999,Buy 1 Get 15% Off,85,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,1,1,1,1,0,0,0,97,0,15/4/2025
12041598,10K37953807,359,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,1,1,1,1,1,1,1,1,1,1,98,0,15/4/2025
12041599,10K37944007,359,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,1,2,1,2,1,1,1,1,1,99,0,15/4/2025
120415100,10K30839502,479,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,1,1,1,2,2,2,2,2,2,2,2,100,0,15/4/2025
120415101,10K31090101,690,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,1,1,1,2,2,2,2,2,2,2,2,101,0,15/4/2025
120415102,10K19225702,299,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,1,1,2,2,2,1,2,1,2,2,102,0,15/4/2025
120415103,10K30966803,399,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,1,1,1,1,1,1,2,2,0,2,103,0,15/4/2025
120415104,10K30966808,399,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,0,0,104,0,15/4/2025
120415105,10K31007904,499,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,105,0,15/4/2025
120415106,10K31015201,359,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,106,0,15/4/2025
120415107,10K31015206,359,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,1,1,1,1,0,0,107,0,15/4/2025
120415108,10K31069403,389,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,1,1,2,2,2,2,2,2,2,2,108,0,15/4/2025
120415109,10K31069405,329,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,1,1,1,1,0,0,109,0,15/4/2025
120415110,10K36962127,209,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,110,0,15/4/2025
120415111,10K36962129,209,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,111,0,15/4/2025
120415112,10K36962130,249,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,112,0,15/4/2025
120415113,10K36962131,249,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,113,0,15/4/2025
120415114,10K37112854,299,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,1,0,0,2,0,0,0,0,0,114,0,15/4/2025
120415115,10K37260502,399,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,0,0,2,0,0,0,0,2,2,115,0,15/4/2025
120415116,10K37704827,329,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,1,2,2,2,2,1,2,2,2,2,2,116,0,15/4/2025
120415117,10K37774901,999,Buy 1 Get 15% Off,85,Buy 2 Get 20% Off,80,No Discount,100,2,1,2,0,0,0,0,0,0,0,0,117,0,15/4/2025
120415118,10K37806823,419,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,118,0,15/4/2025
120415119,10K30808402,479,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,119,0,15/4/2025
120415120,10K37806824,419,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,120,0,15/4/2025
120415121,10K37829114,359,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,1,2,1,1,1,1,1,1,1,0,0,121,0,15/4/2025
120415122,10K37877618,349,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,0,0,2,2,2,2,1,2,2,2,122,0,15/4/2025
120415123,10K37944306,389,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,0,0,1,2,2,0,0,0,0,2,123,0,15/4/2025
120415124,10K38302619,399,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,0,0,0,0,0,0,0,0,124,0,15/4/2025
120415125,10K38302603,349,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,2,2,2,0,0,0,0,0,0,0,0,125,0,15/4/2025
