scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
015041600,17A3WF10103207,1390.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,0,0,0,0,0,0,0,2025-04-16
015041601,1HK1162031FGZ,1199.0,No Discount,100,No Discount,100,No Discount,100,1,2,2,2,2,2,2,0,0,0,0,1,0,2025-04-16
015041602,1HK1162050WWH,1199.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,1,0,0,0,2,0,2025-04-16
015041603,112U9060EEL,1299.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,1,1,0,3,0,2025-04-16
015041604,1HK1155120SNWML,1599.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,4,0,2025-04-16
015041605,1HK1162031CTNS,1199.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,5,0,2025-04-16
015041606,1HK1162050BBLC,1199.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,1,0,0,0,6,0,2025-04-16
015041607,13ZS790637,999.0,No Discount,100,No Discount,100,No Discount,100,0,0,2,2,1,1,1,1,1,1,0,7,0,2025-04-16
015041608,112U2002RRD,1099.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,8,0,2025-04-16
015041609,112UWRPDSBB,1099.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,9,0,2025-04-16
015041610,112UWRPDSBC,1099.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,1,1,1,0,10,0,2025-04-16
015041611,185125053WHT,899.0,Buy 2 Get 20% Off,80,Buy 3 Get 30% Off,70,VIP 15% Off,85,0,2,0,2,0,2,0,0,0,0,0,11,0,2025-04-16
015041612,185129472BKSL,899.0,Buy 2 Get 20% Off,80,Buy 3 Get 30% Off,70,VIP 15% Off,85,0,2,0,2,0,2,0,0,0,0,0,12,0,2025-04-16
015041613,185129472GYLV,899.0,Buy 2 Get 20% Off,80,Buy 3 Get 30% Off,70,VIP 15% Off,85,0,2,0,2,0,2,0,0,0,0,0,13,0,2025-04-16
015041614,17A3WF10061200,1190.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,0,0,0,0,0,14,0,2025-04-16
015041615,108JH7212,799.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,15,0,2025-04-16
015041616,129L47206400,498.0,10% Off,90,No Discount,100,No Discount,100,2,2,1,1,1,1,0,0,0,0,0,16,0,2025-04-16
015041617,129L47750800,998.0,10% Off,90,No Discount,100,No Discount,100,2,2,1,1,1,1,0,0,0,0,0,17,0,2025-04-16
015041618,1HK1162031VCH,1199.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,18,0,2025-04-16
015041619,108JH7213,799.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,19,0,2025-04-16
015041620,129L47726000,1398.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,1,1,1,0,0,0,0,0,20,0,2025-04-16
015041621,129L47740900,498.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,1,0,0,0,0,0,21,0,2025-04-16
015041622,17A3WF10061043,1190.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,1,2,1,0,0,0,0,0,22,0,2025-04-16
