shoe_sku,shoe_name,shoe_brand,shoe_type,shoe_gender
17A3WF10103207,Cloudsurfer 2,On Running,Running Shoes,Women
1HK1162031FGZ,Clifton 10,Hoka,Running Shoes,Women
1HK1162050WWH,Clifton 10 Wide,Hoka,Running Shoes,Women
112U9060EEL,9060,New Balance,Sneakers,Unisex
1HK1155120SNWML,Mach X 2,Hoka,Running Shoes,Women
1HK1162031CTNS,Clifton 10,Hoka,Running Shoes,Women
1HK1162050BBLC,Clifton 10 Wide,Hoka,Running Shoes,Women
13ZS790637,Grid Fusion,Saucony,Sneakers,Unisex
112U2002RRD,2002R,New Balance,Sneakers,Unisex
112UWRPDSBB,WRPD Runner,New Balance,Sneakers,Unisex
112UWRPDSBC,WRPD Runner,New Balance,Sneakers,Unisex
185125053WHT,Go Walk Max Walker,Skechers,Casual Footwear,Women
185129472BKSL,Max Cushioning Endeavour,Skechers,Running Shoes,Women
185129472GYLV,Max Cushioning Endeavour,Skechers,Running Shoes,Women
17A3WF10061200,Cloud 6,On Running,Sneakers,Women
108JH7212,Gazelle,Adidas,Sneakers,Women
129L47206400,Reelax Slide 6.0,Salomon,Hiking Shoes,Women
129L47750800,Techamphibian 5,Salomon,Hiking Shoes,Women
1HK1162031VCH,Clifton 10,Hoka,Running Shoes,Women
108JH7213,Gazelle,Adidas,Sneakers,Women
129L47726000,X Ultra 5 GORE-TEX,Salomon,Hiking Shoes,Women
129L47740900,Reelax Slide 6.0,Salomon,Hiking Shoes,Women
17A3WF10061043,Cloud 6,On Running,Sneakers,Women
1HK1162031WWH,Clifton 10,Hoka,Running Shoes,Women
1HK1162031WTCL,Clifton 10,Hoka,Running Shoes,Women
1HK1162031BBLC,Clifton 10,Hoka,Running Shoes,Women
185125215LTBL,Go Walk 7,Skechers,Casual Footwear,Women
108ID3767,Predator League Turf Boots,Adidas,Football Shoes,Unisex
108ID3836,Predator League Artificial Grass Boots,Adidas,Football Shoes,Unisex
108IE1221,F50 Club Indoor Boots,Adidas,Football Shoes,Unisex
108JR6354,Adizero Adios Pro 4,Adidas,Running Shoes,Women
112W460CP4,460 v4,New Balance,Running Shoes,Women
112W460LK4,460 v4,New Balance,Running Shoes,Women
108ID1330,Predator League Firm/Multi-Ground Boots,Adidas,Football Shoes,Unisex
108ID9045,Copa Pure 3 League Turf Boots,Adidas,Football Shoes,Unisex
1151012B772100,Gel-Cumulus 27,Asics,Running Shoes,Women
1151012B772300,Gel-Cumulus 27,Asics,Running Shoes,Women
112U530NEA,530,New Balance,Sneakers,Unisex
112U530NEB,530,New Balance,Sneakers,Unisex
112WS327FTA,327,New Balance,Sneakers,Women
185150510NVBL,Glide-Step Altus,Skechers,Casual Footwear,Women
112U1906RNE,1906R,New Balance,Sneakers,Unisex
112U1906RNF,1906R,New Balance,Sneakers,Unisex
112U327GPA,327,New Balance,Sneakers,Unisex
112U327GPB,327,New Balance,Sneakers,Unisex
112U530NEC,530,New Balance,Sneakers,Unisex
112U370CA,370,New Balance,Sneakers,Unisex
112U370CC,370,New Balance,Sneakers,Unisex
112WS327FTC,327,New Balance,Sneakers,Women
185129400LAV,Max Cushioning Glide-Step,Skechers,Casual Footwear,Women
185128947NTPK,Max Cushion Arch Fit 2.0,Skechers,Running Shoes,Women
185128947NVTL,Max Cushion Arch Fit 2.0,Skechers,Running Shoes,Women
185150510WMLT,Glide-Step Altus,Skechers,Casual Footwear,Women
108JI4479,Adizero Boston 12,Adidas,Running Shoes,Women
112U370AG,370,New Balance,Sneakers,Unisex
108JR8374,Gazelle Bold,Adidas,Sneakers,Women
1HK1141531SLBS,Stinson 7,Hoka,Hiking Shoes,Women
1HK1162850WMC,Project Transport,Hoka,Casual Footwear,Unisex
1HK1147670ANW,Hopara 2,Hoka,Sandals,Women
108JR8373,Gazelle Bold,Adidas,Sneakers,Women
1HK1162850ATRT,Project Transport,Hoka,Casual Footwear,Unisex
1HK1147810BBLC,Mach 6,Hoka,Running Shoes,Women
185125582NVLV,Go Walk Max Cush Arch Fit,Skechers,Running Shoes,Women
1HK1126851CYLB,Mafate Speed 2,Hoka,Hiking Shoes,Unisex
108IG1273,Adilette Comfort,Adidas,Slippers,Women
13ZS1094025,Endorphin Speed 4,Saucony,Running Shoes,Women
17A3WF10101043,Cloudsurfer 2,On Running,Running Shoes,Women
1151012B765300,Novablast 5,Asics,Running Shoes,Women
112U1906NB,1906 Utility,New Balance,Sneakers,Unisex
112U1906NC,1906 Utility,New Balance,Sneakers,Unisex
112U1906NA,1906 Utility,New Balance,Sneakers,Unisex
108JS3317,Taekwondo,Adidas,Sneakers,Women
108JI2716,Gazelle Indoor,Adidas,Sneakers,Women
108JI2717,Gazelle Indoor,Adidas,Sneakers,Women
112U574RUS,574,New Balance,Sneakers,Unisex
129L47816900,X Ultra 360 Edge GORE-TEX,Salomon,Hiking Shoes,Women
13ZS1093930,Endorphin Pro 4,Saucony,Running Shoes,Women
13ZS30994135,Endorphin Elite 2,Saucony,Running Shoes,Unisex
112W108014C,Fresh Foam X 1080 v14,New Balance,Running Shoes,Women
13ZS30994130,Endorphin Elite 2,Saucony,Running Shoes,Unisex
10K40238101,PUMA x HELLO KITTY & FRIENDS Suede XL Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
1HK1155370BBNB,Clifton One9,Hoka,Casual Footwear,Unisex
112U574GDG,574,New Balance,Sneakers,Unisex
112U574YGD,574,New Balance,Sneakers,Unisex
112WS327DCB,327,New Balance,Sneakers,Women
112WS327DCA,327,New Balance,Sneakers,Women
1151072A107101,Upcourt 6,Asics,Badminton Shoes,Women
108JI2644,Handball Spezial,Adidas,Sneakers,Women
108JI2646,Handball Spezial,Adidas,Sneakers,Women
108JI2677,Samba OG,Adidas,Sneakers,Women
1CS2114480HZ,Crush Bouquet Clog,Crocs,Sandals,Unisex
1151072A107702,Upcourt 6,Asics,Badminton Shoes,Women
108JH7060,Superstar II,Adidas,Sneakers,Women
17A3WE10112564,Cloudmonster 2,On Running,Running Shoes,Women
1HK1141570FFR,Ora Primo,Hoka,Sneakers,Unisex
1CS2112921NK,Classic Platform Bouquet Clog,Crocs,Sandals,Women
17A3WF10493043,Cloudmonster Void,On Running,Running Shoes,Women
1HK1147670INM,Hopara 2,Hoka,Hiking Shoes,Women
1CS2099645BR,InMotion Clog,Crocs,Sandals,Unisex
1151042A250701,Solution Speed FF 3,Asics,Tennis Shoes,Women
1661166290VPB,Hydratrek Sandal CT,Teva,Hiking Shoes,Women
1151072A106102,Gel-Task 4,Asics,Volleyball Shoes,Women
1661166290WPPP,Hydratrek Sandal CT,Teva,Hiking Shoes,Women
112W680RC8,Fresh Foam 680 v8,New Balance,Running Shoes,Women
1CS206750214,Classic Platform Clog,Crocs,Sandals,Women
1CS110331NK,Crocband Flip,Crocs,Sandals,Unisex
112U574BLG,574,New Balance,Sneakers,Unisex
