shoe_sku,shoe_name,shoe_brand,shoe_type,shoe_gender
1HK1162031FGZ,Clifton 10,Hoka,Running Shoes,Women
1HK1162050WWH,Clifton 10 Wide,Hoka,Running Shoes,Women
1HK1162031CTNS,Clifton 10,Hoka,Running Shoes,Women
1HK1162050BBLC,Clifton 10 Wide,Hoka,Running Shoes,Women
185125053WHT,Go Walk Max Walker,Skechers,Casual Footwear,Women
185129472BKSL,Max Cushioning Endeavour,Skechers,Running Shoes,Women
185129472GYLV,Max Cushioning Endeavour,Skechers,Running Shoes,Women
17A3WF10061200,Cloud 6,On Running,Sneakers,Women
108JH7212,Gazelle,Adidas,Sneakers,Women
1HK1162031VCH,Clifton 10,Hoka,Running Shoes,Women
108JH7213,Gazelle,Adidas,Sneakers,Women
17A3WF10061043,Cloud 6,On Running,Sneakers,Women
1HK1162031WWH,Clifton 10,Hoka,Running Shoes,Women
1HK1162031WTCL,Clifton 10,Hoka,Running Shoes,Women
1HK1162031BBLC,Clifton 10,Hoka,Running Shoes,Women
108ID3767,Predator League Turf Boots,Adidas,Football Shoes,Unisex
108ID3836,Predator League Artificial Grass Boots,Adidas,Football Shoes,Unisex
108IE1221,F50 Club Indoor Boots,Adidas,Football Shoes,Unisex
108JR6354,Adizero Adios Pro 4,Adidas,Running Shoes,Women
108ID1330,Predator League Firm/Multi-Ground Boots,Adidas,Football Shoes,Unisex
108ID9045,Copa Pure 3 League Turf Boots,Adidas,Football Shoes,Unisex
112U530NEA,530,New Balance,Sneakers,Unisex
112U530NEB,530,New Balance,Sneakers,Unisex
112WS327FTA,327,New Balance,Sneakers,Women
